n,m,final_balance,total_return,trade_count,yearly_details
7,33,"₩87,568,329",8656.83%,128,"2014: ₩473,117 (-52.69%); 2015: ₩506,645 (7.09%); 2016: ₩796,101 (57.13%); 2017: ₩2,279,386 (186.32%); 2018: ₩7,335,110 (221.80%); 2019: ₩16,408,398 (123.70%); 2020: ₩25,183,121 (53.48%); 2021: ₩41,151,253 (63.41%); 2022: ₩27,556,173 (-33.04%); 2023: ₩36,536,548 (32.59%); 2024: ₩91,298,773 (149.88%); 2025: ₩87,568,329 (-4.09%)"
7,34,"₩202,065,270",20106.53%,128,"2014: ₩471,108 (-52.89%); 2015: ₩546,804 (16.07%); 2016: ₩838,867 (53.41%); 2017: ₩2,303,999 (174.66%); 2018: ₩6,801,112 (195.19%); 2019: ₩15,168,278 (123.03%); 2020: ₩23,124,082 (52.45%); 2021: ₩103,296,103 (346.70%); 2022: ₩69,237,238 (-32.97%); 2023: ₩88,051,736 (27.17%); 2024: ₩210,673,326 (139.26%); 2025: ₩202,065,270 (-4.09%)"
7,35,"₩234,819,348",23381.93%,120,"2014: ₩466,553 (-53.34%); 2015: ₩540,725 (15.90%); 2016: ₩829,542 (53.41%); 2017: ₩2,457,401 (196.24%); 2018: ₩6,815,480 (177.34%); 2019: ₩14,423,582 (111.63%); 2020: ₩26,456,180 (83.42%); 2021: ₩109,108,330 (312.41%); 2022: ₩73,407,070 (-32.72%); 2023: ₩92,829,922 (26.46%); 2024: ₩244,822,740 (163.73%); 2025: ₩234,819,348 (-4.09%)"
7,36,"₩770,860,763",76986.08%,114,"2014: ₩492,949 (-50.71%); 2015: ₩567,194 (15.06%); 2016: ₩870,148 (53.41%); 2017: ₩3,967,746 (355.99%); 2018: ₩10,876,310 (174.12%); 2019: ₩23,017,508 (111.63%); 2020: ₩36,118,909 (56.92%); 2021: ₩321,286,845 (789.53%); 2022: ₩252,291,144 (-21.47%); 2023: ₩319,045,119 (26.46%); 2024: ₩803,699,720 (151.91%); 2025: ₩770,860,763 (-4.09%)"
7,37,"₩504,320,178",50332.02%,108,"2014: ₩528,456 (-47.15%); 2015: ₩609,907 (15.41%); 2016: ₩935,675 (53.41%); 2017: ₩4,402,664 (370.53%); 2018: ₩8,250,360 (87.39%); 2019: ₩16,388,838 (98.64%); 2020: ₩25,717,247 (56.92%); 2021: ₩213,701,689 (730.97%); 2022: ₩165,056,416 (-22.76%); 2023: ₩208,728,864 (26.46%); 2024: ₩525,804,406 (151.91%); 2025: ₩504,320,178 (-4.09%)"
7,38,"₩316,147,293",31514.73%,106,"2014: ₩540,953 (-45.90%); 2015: ₩606,847 (12.18%); 2016: ₩930,981 (53.41%); 2017: ₩4,406,575 (373.33%); 2018: ₩7,898,628 (79.25%); 2019: ₩14,204,040 (79.83%); 2020: ₩18,437,788 (29.81%); 2021: ₩138,096,865 (648.99%); 2022: ₩103,640,916 (-24.95%); 2023: ₩133,026,874 (28.35%); 2024: ₩328,777,683 (147.15%); 2025: ₩316,147,293 (-3.84%)"
7,39,"₩77,753,088",7675.31%,96,"2014: ₩563,030 (-43.70%); 2015: ₩626,621 (11.29%); 2016: ₩1,064,252 (69.84%); 2017: ₩3,227,060 (203.22%); 2018: ₩10,016,362 (210.39%); 2019: ₩3,703,045 (-63.03%); 2020: ₩4,822,473 (30.23%); 2021: ₩34,170,360 (608.57%); 2022: ₩26,834,321 (-21.47%); 2023: ₩33,183,605 (23.66%); 2024: ₩81,441,939 (145.43%); 2025: ₩77,753,088 (-4.53%)"
7,40,"₩70,418,575",6941.86%,94,"2014: ₩563,030 (-43.70%); 2015: ₩706,266 (25.44%); 2016: ₩1,228,601 (73.96%); 2017: ₩1,682,321 (36.93%); 2018: ₩4,830,217 (187.12%); 2019: ₩5,120,981 (6.02%); 2020: ₩6,775,971 (32.32%); 2021: ₩54,289,075 (701.20%); 2022: ₩22,823,524 (-57.96%); 2023: ₩30,053,368 (31.68%); 2024: ₩73,759,454 (145.43%); 2025: ₩70,418,575 (-4.53%)"
7,41,"₩65,080,449",6408.04%,94,"2014: ₩563,030 (-43.70%); 2015: ₩706,266 (25.44%); 2016: ₩1,039,439 (47.17%); 2017: ₩1,423,302 (36.93%); 2018: ₩4,370,150 (207.04%); 2019: ₩4,573,782 (4.66%); 2020: ₩6,043,241 (32.13%); 2021: ₩48,418,445 (701.20%); 2022: ₩20,355,468 (-57.96%); 2023: ₩26,803,502 (31.68%); 2024: ₩65,783,365 (145.43%); 2025: ₩65,080,449 (-1.07%)"
7,42,"₩31,839,486",3083.95%,88,"2014: ₩563,030 (-43.70%); 2015: ₩677,661 (20.36%); 2016: ₩1,001,279 (47.76%); 2017: ₩1,412,245 (41.04%); 2018: ₩4,363,301 (208.96%); 2019: ₩4,493,743 (2.99%); 2020: ₩5,647,843 (25.68%); 2021: ₩24,634,452 (336.17%); 2022: ₩10,356,503 (-57.96%); 2023: ₩12,822,047 (23.81%); 2024: ₩31,468,926 (145.43%); 2025: ₩31,839,486 (1.18%)"
7,43,"₩21,740,058",2074.01%,88,"2014: ₩563,030 (-43.70%); 2015: ₩685,347 (21.72%); 2016: ₩826,256 (20.56%); 2017: ₩1,149,126 (39.08%); 2018: ₩3,308,763 (187.94%); 2019: ₩3,407,679 (2.99%); 2020: ₩4,282,852 (25.68%); 2021: ₩18,680,710 (336.17%); 2022: ₩7,179,690 (-61.57%); 2023: ₩8,970,657 (24.94%); 2024: ₩21,487,039 (139.53%); 2025: ₩21,740,058 (1.18%)"
7,44,"₩30,648,609",2964.86%,92,"2014: ₩563,030 (-43.70%); 2015: ₩509,083 (-9.58%); 2016: ₩1,035,010 (103.31%); 2017: ₩1,439,454 (39.08%); 2018: ₩4,624,210 (221.25%); 2019: ₩5,347,014 (15.63%); 2020: ₩6,564,938 (22.78%); 2021: ₩16,384,486 (149.58%); 2022: ₩6,297,166 (-61.57%); 2023: ₩8,015,135 (27.28%); 2024: ₩30,291,908 (277.93%); 2025: ₩30,648,609 (1.18%)"
7,45,"₩62,115,799",6111.58%,88,"2014: ₩554,279 (-44.57%); 2015: ₩507,020 (-8.53%); 2016: ₩1,076,225 (112.26%); 2017: ₩1,496,773 (39.08%); 2018: ₩5,121,235 (242.15%); 2019: ₩5,565,526 (8.68%); 2020: ₩6,855,503 (23.18%); 2021: ₩34,991,140 (410.41%); 2022: ₩12,801,682 (-63.41%); 2023: ₩16,244,342 (26.89%); 2024: ₩61,392,870 (277.93%); 2025: ₩62,115,799 (1.18%)"
7,46,"₩62,962,412",6196.24%,88,"2014: ₩554,279 (-44.57%); 2015: ₩518,399 (-6.47%); 2016: ₩1,094,861 (111.20%); 2017: ₩1,339,280 (22.32%); 2018: ₩3,771,405 (181.60%); 2019: ₩4,098,591 (8.68%); 2020: ₩7,088,633 (72.95%); 2021: ₩33,771,668 (376.42%); 2022: ₩12,454,636 (-63.12%); 2023: ₩17,151,234 (37.71%); 2024: ₩62,229,631 (262.83%); 2025: ₩62,962,412 (1.18%)"
7,47,"₩103,799,887",10279.99%,86,"2014: ₩828,223 (-17.18%); 2015: ₩787,864 (-4.87%); 2016: ₩1,663,972 (111.20%); 2017: ₩2,120,906 (27.46%); 2018: ₩5,885,810 (177.51%); 2019: ₩6,967,452 (18.38%); 2020: ₩11,813,592 (69.55%); 2021: ₩56,282,318 (376.42%); 2022: ₩20,756,327 (-63.12%); 2023: ₩28,212,248 (35.92%); 2024: ₩102,591,823 (263.64%); 2025: ₩103,799,887 (1.18%)"
7,48,"₩87,618,969",8661.90%,86,"2014: ₩828,223 (-17.18%); 2015: ₩793,624 (-4.18%); 2016: ₩1,676,136 (111.20%); 2017: ₩2,136,410 (27.46%); 2018: ₩5,334,664 (149.70%); 2019: ₩6,315,020 (18.38%); 2020: ₩10,646,632 (68.59%); 2021: ₩48,345,703 (354.09%); 2022: ₩18,573,890 (-61.58%); 2023: ₩25,245,855 (35.92%); 2024: ₩86,599,224 (243.02%); 2025: ₩87,618,969 (1.18%)"
7,49,"₩49,973,508",4897.35%,86,"2014: ₩828,223 (-17.18%); 2015: ₩789,113 (-4.72%); 2016: ₩1,835,434 (132.59%); 2017: ₩2,374,864 (29.39%); 2018: ₩5,520,376 (132.45%); 2019: ₩6,534,861 (18.38%); 2020: ₩6,457,035 (-1.19%); 2021: ₩29,320,999 (354.09%); 2022: ₩11,264,807 (-61.58%); 2023: ₩15,311,261 (35.92%); 2024: ₩50,513,259 (229.91%); 2025: ₩49,973,508 (-1.07%)"
7,50,"₩51,003,803",5000.38%,90,"2014: ₩828,223 (-17.18%); 2015: ₩773,572 (-6.60%); 2016: ₩1,773,681 (129.28%); 2017: ₩2,294,962 (29.39%); 2018: ₩5,247,258 (128.64%); 2019: ₩6,472,719 (23.35%); 2020: ₩6,252,796 (-3.40%); 2021: ₩28,393,563 (354.09%); 2022: ₩11,266,482 (-60.32%); 2023: ₩15,626,930 (38.70%); 2024: ₩51,554,681 (229.91%); 2025: ₩51,003,803 (-1.07%)"
7,51,"₩60,119,221",5911.92%,90,"2014: ₩828,223 (-17.18%); 2015: ₩770,745 (-6.94%); 2016: ₩1,759,527 (128.29%); 2017: ₩2,532,067 (43.91%); 2018: ₩6,132,095 (142.18%); 2019: ₩7,473,338 (21.87%); 2020: ₩7,219,418 (-3.40%); 2021: ₩32,978,756 (356.81%); 2022: ₩12,941,342 (-60.76%); 2023: ₩18,052,633 (39.50%); 2024: ₩60,768,552 (236.62%); 2025: ₩60,119,221 (-1.07%)"
7,52,"₩63,496,518",6249.65%,90,"2014: ₩784,926 (-21.51%); 2015: ₩730,453 (-6.94%); 2016: ₩1,694,897 (132.03%); 2017: ₩2,439,061 (43.91%); 2018: ₩6,495,560 (166.31%); 2019: ₩7,916,303 (21.87%); 2020: ₩7,488,900 (-5.40%); 2021: ₩34,209,770 (356.81%); 2022: ₩13,332,871 (-61.03%); 2023: ₩18,598,800 (39.50%); 2024: ₩39,046,649 (109.94%); 2025: ₩63,496,518 (62.62%)"
7,53,"₩60,247,137",5924.71%,84,"2014: ₩784,926 (-21.51%); 2015: ₩707,710 (-9.84%); 2016: ₩1,622,692 (129.29%); 2017: ₩2,389,385 (47.25%); 2018: ₩6,428,055 (169.03%); 2019: ₩7,566,312 (17.71%); 2020: ₩9,549,760 (26.21%); 2021: ₩42,960,077 (349.86%); 2022: ₩12,515,397 (-70.87%); 2023: ₩17,458,458 (39.50%); 2024: ₩36,652,595 (109.94%); 2025: ₩60,247,137 (64.37%)"
7,54,"₩73,903,002",7290.30%,80,"2014: ₩784,926 (-21.51%); 2015: ₩726,541 (-7.44%); 2016: ₩1,665,870 (129.29%); 2017: ₩2,473,658 (48.49%); 2018: ₩7,031,753 (184.27%); 2019: ₩9,056,424 (28.79%); 2020: ₩11,430,493 (26.21%); 2021: ₩51,420,648 (349.86%); 2022: ₩15,468,493 (-69.92%); 2023: ₩21,427,430 (38.52%); 2024: ₩44,960,424 (109.83%); 2025: ₩73,903,002 (64.37%)"
7,55,"₩139,388,699",13838.87%,82,"2014: ₩784,926 (-21.51%); 2015: ₩697,257 (-11.17%); 2016: ₩1,593,406 (128.53%); 2017: ₩5,338,884 (235.06%); 2018: ₩14,303,167 (167.91%); 2019: ₩18,594,140 (30.00%); 2020: ₩23,327,620 (25.46%); 2021: ₩104,940,472 (349.86%); 2022: ₩30,004,390 (-71.41%); 2023: ₩41,563,000 (38.52%); 2024: ₩84,800,006 (104.03%); 2025: ₩139,388,699 (64.37%)"
7,56,"₩164,329,924",16332.99%,84,"2014: ₩730,469 (-26.95%); 2015: ₩627,568 (-14.09%); 2016: ₩1,436,034 (128.83%); 2017: ₩4,799,017 (234.19%); 2018: ₩13,001,110 (170.91%); 2019: ₩16,901,464 (30.00%); 2020: ₩21,204,041 (25.46%); 2021: ₩94,353,795 (344.98%); 2022: ₩35,251,668 (-62.64%); 2023: ₩48,301,479 (37.02%); 2024: ₩100,210,010 (107.47%); 2025: ₩164,329,924 (63.99%)"
7,57,"₩172,966,033",17196.60%,82,"2014: ₩730,469 (-26.95%); 2015: ₩619,253 (-15.23%); 2016: ₩1,445,516 (133.43%); 2017: ₩4,821,216 (233.53%); 2018: ₩12,755,802 (164.58%); 2019: ₩16,582,563 (30.00%); 2020: ₩20,803,959 (25.46%); 2021: ₩93,945,367 (351.57%); 2022: ₩38,808,993 (-58.69%); 2023: ₩49,294,029 (27.02%); 2024: ₩105,476,395 (113.97%); 2025: ₩172,966,033 (63.99%)"
7,58,"₩184,090,322",18309.03%,80,"2014: ₩742,003 (-25.80%); 2015: ₩669,960 (-9.71%); 2016: ₩1,548,838 (131.18%); 2017: ₩5,189,398 (235.05%); 2018: ₩13,649,434 (163.03%); 2019: ₩17,744,285 (30.00%); 2020: ₩22,141,963 (24.78%); 2021: ₩99,987,451 (351.57%); 2022: ₩41,304,988 (-58.69%); 2023: ₩52,464,369 (27.02%); 2024: ₩112,260,096 (113.97%); 2025: ₩184,090,322 (63.99%)"
7,59,"₩146,146,713",14514.67%,86,"2014: ₩742,003 (-25.80%); 2015: ₩648,333 (-12.62%); 2016: ₩1,481,114 (128.45%); 2017: ₩4,712,014 (218.14%); 2018: ₩12,393,792 (163.03%); 2019: ₩16,062,596 (29.60%); 2020: ₩19,859,162 (23.64%); 2021: ₩89,678,904 (351.57%); 2022: ₩33,460,566 (-62.69%); 2023: ₩42,170,165 (26.03%); 2024: ₩89,121,708 (111.34%); 2025: ₩146,146,713 (63.99%)"
7,60,"₩123,911,870",12291.19%,80,"2014: ₩742,003 (-25.80%); 2015: ₩665,167 (-10.36%); 2016: ₩1,519,571 (128.45%); 2017: ₩4,834,361 (218.14%); 2018: ₩12,715,595 (163.03%); 2019: ₩16,261,590 (27.89%); 2020: ₩20,105,190 (23.64%); 2021: ₩89,890,991 (347.10%); 2022: ₩28,248,311 (-68.57%); 2023: ₩35,952,596 (27.27%); 2024: ₩75,562,682 (110.17%); 2025: ₩123,911,870 (63.99%)"
7,61,"₩82,030,993",8103.10%,82,"2014: ₩742,003 (-25.80%); 2015: ₩627,069 (-15.49%); 2016: ₩1,472,253 (134.78%); 2017: ₩4,249,399 (188.63%); 2018: ₩10,672,465 (151.15%); 2019: ₩14,759,406 (38.29%); 2020: ₩21,761,227 (47.44%); 2021: ₩95,703,140 (339.79%); 2022: ₩31,909,769 (-66.66%); 2023: ₩40,612,659 (27.27%); 2024: ₩82,030,993 (101.98%)"
7,62,"₩76,865,968",7586.60%,80,"2014: ₩742,003 (-25.80%); 2015: ₩628,195 (-15.34%); 2016: ₩1,474,896 (134.78%); 2017: ₩4,297,362 (191.37%); 2018: ₩10,744,006 (150.01%); 2019: ₩13,631,416 (26.87%); 2020: ₩20,098,123 (47.44%); 2021: ₩88,389,017 (339.79%); 2022: ₩29,581,952 (-66.53%); 2023: ₩37,649,967 (27.27%); 2024: ₩76,865,968 (104.16%)"
7,63,"₩105,190,648",10419.06%,80,"2014: ₩742,003 (-25.80%); 2015: ₩628,195 (-15.34%); 2016: ₩1,460,333 (132.47%); 2017: ₩6,291,726 (330.84%); 2018: ₩15,212,686 (141.79%); 2019: ₩18,479,263 (21.47%); 2020: ₩26,848,026 (45.29%); 2021: ₩118,074,244 (339.79%); 2022: ₩39,516,976 (-66.53%); 2023: ₩50,294,613 (27.27%); 2024: ₩105,190,648 (109.15%)"
7,64,"₩43,818,963",4281.90%,78,"2014: ₩742,003 (-25.80%); 2015: ₩649,110 (-12.52%); 2016: ₩889,132 (36.98%); 2017: ₩2,835,082 (218.86%); 2018: ₩6,597,350 (132.70%); 2019: ₩8,013,980 (21.47%); 2020: ₩11,643,297 (45.29%); 2021: ₩77,114,465 (562.31%); 2022: ₩25,529,354 (-66.89%); 2023: ₩31,904,841 (24.97%); 2024: ₩43,818,963 (37.34%)"
7,65,"₩14,504,208",1350.42%,74,"2014: ₩742,003 (-25.80%); 2015: ₩649,110 (-12.52%); 2016: ₩849,077 (30.81%); 2017: ₩3,544,863 (317.50%); 2018: ₩2,557,195 (-27.86%); 2019: ₩2,994,066 (17.08%); 2020: ₩4,349,998 (45.29%); 2021: ₩29,079,799 (568.50%); 2022: ₩9,688,009 (-66.68%); 2023: ₩10,442,863 (7.79%); 2024: ₩14,504,208 (38.89%)"
7,66,"₩20,351,752",1935.18%,76,"2014: ₩742,003 (-25.80%); 2015: ₩644,101 (-13.19%); 2016: ₩857,775 (33.17%); 2017: ₩3,704,098 (331.83%); 2018: ₩2,672,064 (-27.86%); 2019: ₩3,029,196 (13.37%); 2020: ₩4,364,926 (44.10%); 2021: ₩29,239,908 (569.88%); 2022: ₩12,962,431 (-55.67%); 2023: ₩14,653,027 (13.04%); 2024: ₩20,351,752 (38.89%)"
7,67,"₩15,410,043",1441.00%,76,"2014: ₩742,003 (-25.80%); 2015: ₩612,644 (-17.43%); 2016: ₩815,883 (33.17%); 2017: ₩3,523,197 (331.83%); 2018: ₩2,541,566 (-27.86%); 2019: ₩2,886,833 (13.58%); 2020: ₩3,908,226 (35.38%); 2021: ₩23,942,032 (512.61%); 2022: ₩10,355,968 (-56.75%); 2023: ₩11,095,053 (7.14%); 2024: ₩15,410,043 (38.89%)"
7,68,"₩159,533,200",15853.32%,72,"2014: ₩742,003 (-25.80%); 2015: ₩614,425 (-17.19%); 2016: ₩1,396,096 (127.22%); 2017: ₩4,577,085 (227.85%); 2018: ₩17,000,662 (271.43%); 2019: ₩38,185,819 (124.61%); 2020: ₩46,718,460 (22.35%); 2021: ₩265,540,569 (468.38%); 2022: ₩112,433,009 (-57.66%); 2023: ₩114,862,068 (2.16%); 2024: ₩159,533,200 (38.89%)"
7,69,"₩149,112,353",14811.24%,70,"2014: ₩742,003 (-25.80%); 2015: ₩613,160 (-17.36%); 2016: ₩1,404,808 (129.11%); 2017: ₩4,605,648 (227.85%); 2018: ₩17,398,334 (277.76%); 2019: ₩47,177,965 (171.16%); 2020: ₩43,492,360 (-7.81%); 2021: ₩243,394,898 (459.63%); 2022: ₩103,367,990 (-57.53%); 2023: ₩105,601,203 (2.16%); 2024: ₩149,112,353 (41.20%)"
7,70,"₩156,556,944",15555.69%,72,"2014: ₩765,071 (-23.49%); 2015: ₩632,222 (-17.36%); 2016: ₩1,405,628 (122.33%); 2017: ₩4,608,337 (227.85%); 2018: ₩17,408,494 (277.76%); 2019: ₩46,215,416 (165.48%); 2020: ₩41,827,684 (-9.49%); 2021: ₩253,841,951 (506.88%); 2022: ₩108,528,745 (-57.25%); 2023: ₩110,873,454 (2.16%); 2024: ₩156,556,944 (41.20%)"
7,71,"₩91,730,400",9073.04%,72,"2014: ₩765,071 (-23.49%); 2015: ₩632,222 (-17.36%); 2016: ₩1,339,805 (111.92%); 2017: ₩4,097,594 (205.84%); 2018: ₩11,691,676 (185.33%); 2019: ₩31,038,623 (165.48%); 2020: ₩28,091,789 (-9.49%); 2021: ₩147,039,357 (423.42%); 2022: ₩66,982,546 (-54.45%); 2023: ₩65,313,170 (-2.49%); 2024: ₩91,730,400 (40.45%)"
7,72,"₩91,612,132",9061.21%,68,"2014: ₩765,071 (-23.49%); 2015: ₩632,222 (-17.36%); 2016: ₩1,354,513 (114.25%); 2017: ₩3,908,638 (188.56%); 2018: ₩11,506,923 (194.40%); 2019: ₩30,548,148 (165.48%); 2020: ₩27,379,174 (-10.37%); 2021: ₩133,809,843 (388.73%); 2022: ₩66,896,185 (-50.01%); 2023: ₩65,228,962 (-2.49%); 2024: ₩91,612,132 (40.45%)"
7,73,"₩52,869,815",5186.98%,66,"2014: ₩765,071 (-23.49%); 2015: ₩631,176 (-17.50%); 2016: ₩814,132 (28.99%); 2017: ₩2,349,292 (188.56%); 2018: ₩6,916,251 (194.40%); 2019: ₩18,361,003 (165.48%); 2020: ₩16,307,978 (-11.18%); 2021: ₩76,518,051 (369.21%); 2022: ₩38,254,030 (-50.01%); 2023: ₩37,300,642 (-2.49%); 2024: ₩52,869,815 (41.74%)"
7,74,"₩47,895,294",4689.53%,66,"2014: ₩765,071 (-23.49%); 2015: ₩631,176 (-17.50%); 2016: ₩814,132 (28.99%); 2017: ₩2,337,723 (187.14%); 2018: ₩6,882,193 (194.40%); 2019: ₩18,270,587 (165.48%); 2020: ₩15,509,387 (-15.11%); 2021: ₩70,099,979 (351.98%); 2022: ₩35,045,412 (-50.01%); 2023: ₩34,171,991 (-2.49%); 2024: ₩47,895,294 (40.16%)"
7,75,"₩45,302,184",4430.22%,66,"2014: ₩765,071 (-23.49%); 2015: ₩651,175 (-14.89%); 2016: ₩839,928 (28.99%); 2017: ₩2,461,769 (193.09%); 2018: ₩7,247,381 (194.40%); 2019: ₩19,240,075 (165.48%); 2020: ₩16,332,358 (-15.11%); 2021: ₩73,819,678 (351.98%); 2022: ₩36,905,019 (-50.01%); 2023: ₩34,115,888 (-7.56%); 2024: ₩45,302,184 (32.79%)"
7,76,"₩46,837,923",4583.79%,68,"2014: ₩765,071 (-23.49%); 2015: ₩651,175 (-14.89%); 2016: ₩839,928 (28.99%); 2017: ₩2,357,628 (180.69%); 2018: ₩6,940,791 (194.40%); 2019: ₩18,426,152 (165.48%); 2020: ₩15,641,442 (-15.11%); 2021: ₩83,812,476 (435.84%); 2022: ₩38,896,492 (-53.59%); 2023: ₩35,956,854 (-7.56%); 2024: ₩46,837,923 (30.26%)"
7,77,"₩23,506,658",2250.67%,72,"2014: ₩625,945 (-37.41%); 2015: ₩541,292 (-13.52%); 2016: ₩689,931 (27.46%); 2017: ₩1,936,595 (180.69%); 2018: ₩5,701,282 (194.40%); 2019: ₩15,135,549 (165.48%); 2020: ₩13,085,748 (-13.54%); 2021: ₩70,118,150 (435.84%); 2022: ₩29,417,037 (-58.05%); 2023: ₩27,193,817 (-7.56%); 2024: ₩23,506,658 (-13.56%)"
7,78,"₩24,201,768",2320.18%,72,"2014: ₩625,945 (-37.41%); 2015: ₩525,042 (-16.12%); 2016: ₩669,218 (27.46%); 2017: ₩1,743,713 (160.56%); 2018: ₩4,938,441 (183.21%); 2019: ₩13,110,388 (165.48%); 2020: ₩11,306,678 (-13.76%); 2021: ₩60,585,252 (435.84%); 2022: ₩28,439,187 (-53.06%); 2023: ₩27,879,224 (-1.97%); 2024: ₩24,201,768 (-13.19%)"
7,79,"₩25,456,176",2445.62%,72,"2014: ₩638,158 (-36.18%); 2015: ₩531,492 (-16.71%); 2016: ₩677,440 (27.46%); 2017: ₩1,834,665 (170.82%); 2018: ₩5,331,036 (190.57%); 2019: ₩14,016,297 (162.92%); 2020: ₩12,103,389 (-13.65%); 2021: ₩67,002,910 (453.59%); 2022: ₩29,913,226 (-55.36%); 2023: ₩29,324,241 (-1.97%); 2024: ₩25,456,176 (-13.19%)"
8,20,"₩171,028,199",17002.82%,182,"2014: ₩765,267 (-23.47%); 2015: ₩1,216,864 (59.01%); 2016: ₩1,044,088 (-14.20%); 2017: ₩13,211,234 (1165.34%); 2018: ₩11,593,863 (-12.24%); 2019: ₩16,378,676 (41.27%); 2020: ₩20,991,829 (28.17%); 2021: ₩65,398,162 (211.54%); 2022: ₩42,985,875 (-34.27%); 2023: ₩91,080,393 (111.88%); 2024: ₩181,707,988 (99.50%); 2025: ₩171,028,199 (-5.88%)"
8,21,"₩44,157,510",4315.75%,168,"2014: ₩510,618 (-48.94%); 2015: ₩775,331 (51.84%); 2016: ₩555,914 (-28.30%); 2017: ₩6,830,286 (1128.66%); 2018: ₩6,233,353 (-8.74%); 2019: ₩6,022,492 (-3.38%); 2020: ₩8,675,646 (44.05%); 2021: ₩25,439,550 (193.23%); 2022: ₩16,337,697 (-35.78%); 2023: ₩22,993,870 (40.74%); 2024: ₩45,873,428 (99.50%); 2025: ₩44,157,510 (-3.74%)"
8,22,"₩16,197,083",1519.71%,158,"2014: ₩525,142 (-47.49%); 2015: ₩763,017 (45.30%); 2016: ₩554,941 (-27.27%); 2017: ₩3,055,989 (450.69%); 2018: ₩2,540,899 (-16.86%); 2019: ₩2,484,419 (-2.22%); 2020: ₩3,634,836 (46.31%); 2021: ₩9,580,281 (163.57%); 2022: ₩6,224,138 (-35.03%); 2023: ₩8,732,052 (40.29%); 2024: ₩16,569,469 (89.75%); 2025: ₩16,197,083 (-2.25%)"
8,23,"₩35,278,442",3427.84%,152,"2014: ₩723,229 (-27.68%); 2015: ₩960,499 (32.81%); 2016: ₩743,682 (-22.57%); 2017: ₩3,696,694 (397.08%); 2018: ₩3,429,257 (-7.23%); 2019: ₩4,868,267 (41.96%); 2020: ₩7,007,743 (43.95%); 2021: ₩20,817,100 (197.06%); 2022: ₩13,505,648 (-35.12%); 2023: ₩19,041,194 (40.99%); 2024: ₩36,039,021 (89.27%); 2025: ₩35,278,442 (-2.11%)"
8,24,"₩70,479,695",6947.97%,154,"2014: ₩557,071 (-44.29%); 2015: ₩744,028 (33.56%); 2016: ₩802,728 (7.89%); 2017: ₩4,965,276 (518.55%); 2018: ₩4,287,666 (-13.65%); 2019: ₩9,497,923 (121.52%); 2020: ₩14,136,055 (48.83%); 2021: ₩43,801,406 (209.86%); 2022: ₩27,363,404 (-37.53%); 2023: ₩37,374,329 (36.59%); 2024: ₩69,932,659 (87.11%); 2025: ₩70,479,695 (0.78%)"
8,25,"₩36,503,659",3550.37%,152,"2014: ₩587,260 (-41.27%); 2015: ₩805,960 (37.24%); 2016: ₩594,774 (-26.20%); 2017: ₩2,794,833 (369.90%); 2018: ₩2,298,617 (-17.75%); 2019: ₩5,127,509 (123.07%); 2020: ₩7,651,823 (49.23%); 2021: ₩23,370,962 (205.43%); 2022: ₩13,610,243 (-41.76%); 2023: ₩17,942,549 (31.83%); 2024: ₩36,220,332 (101.87%); 2025: ₩36,503,659 (0.78%)"
8,26,"₩44,371,805",4337.18%,146,"2014: ₩548,561 (-45.14%); 2015: ₩735,340 (34.05%); 2016: ₩542,658 (-26.20%); 2017: ₩3,100,368 (471.33%); 2018: ₩2,429,091 (-21.65%); 2019: ₩5,585,708 (129.95%); 2020: ₩14,007,328 (150.77%); 2021: ₩46,511,673 (232.05%); 2022: ₩26,962,313 (-42.03%); 2023: ₩35,058,442 (30.03%); 2024: ₩44,027,408 (25.58%); 2025: ₩44,371,805 (0.78%)"
8,27,"₩40,882,160",3988.22%,142,"2014: ₩562,633 (-43.74%); 2015: ₩728,097 (29.41%); 2016: ₩755,446 (3.76%); 2017: ₩3,918,986 (418.76%); 2018: ₩3,141,715 (-19.83%); 2019: ₩7,219,577 (129.80%); 2020: ₩18,285,640 (153.28%); 2021: ₩38,950,316 (113.01%); 2022: ₩22,986,016 (-40.99%); 2023: ₩28,947,467 (25.94%); 2024: ₩40,336,284 (39.34%); 2025: ₩40,882,160 (1.35%)"
8,28,"₩27,224,184",2622.42%,142,"2014: ₩513,061 (-48.69%); 2015: ₩677,269 (32.01%); 2016: ₩536,320 (-20.81%); 2017: ₩2,638,747 (392.01%); 2018: ₩1,895,218 (-28.18%); 2019: ₩4,297,183 (126.74%); 2020: ₩10,677,215 (148.47%); 2021: ₩28,836,195 (170.07%); 2022: ₩16,244,152 (-43.67%); 2023: ₩20,057,890 (23.48%); 2024: ₩27,131,405 (35.27%); 2025: ₩27,224,184 (0.34%)"
8,29,"₩42,687,413",4168.74%,136,"2014: ₩478,172 (-52.18%); 2015: ₩614,176 (28.44%); 2016: ₩668,738 (8.88%); 2017: ₩3,038,577 (354.38%); 2018: ₩2,076,236 (-31.67%); 2019: ₩4,935,774 (137.73%); 2020: ₩7,727,005 (56.55%); 2021: ₩55,089,415 (612.95%); 2022: ₩23,758,756 (-56.87%); 2023: ₩31,450,693 (32.38%); 2024: ₩42,541,936 (35.27%); 2025: ₩42,687,413 (0.34%)"
