n,m,final_balance,total_return,trade_count,yearly_details
9,39,"₩2,329,085",132.91%,700,"2014: ₩714,955 (-28.50%); 2015: ₩688,369 (-3.72%); 2016: ₩781,980 (13.60%); 2017: ₩3,248,920 (315.47%); 2018: ₩2,136,626 (-34.24%); 2019: ₩2,653,202 (24.18%); 2020: ₩3,566,415 (34.42%); 2021: ₩5,822,858 (63.27%); 2022: ₩1,751,055 (-69.93%); 2023: ₩2,292,272 (30.91%); 2024: ₩2,572,429 (12.22%); 2025: ₩2,329,085 (-9.46%)"
9,40,"₩4,528,500",352.85%,674,"2014: ₩679,803 (-32.02%); 2015: ₩695,329 (2.28%); 2016: ₩816,952 (17.49%); 2017: ₩5,099,676 (524.23%); 2018: ₩3,322,301 (-34.85%); 2019: ₩4,262,654 (28.30%); 2020: ₩5,839,789 (37.00%); 2021: ₩10,255,836 (75.62%); 2022: ₩3,189,569 (-68.90%); 2023: ₩4,470,746 (40.17%); 2024: ₩5,028,115 (12.47%); 2025: ₩4,528,500 (-9.94%)"
9,41,"₩7,151,559",615.16%,664,"2014: ₩680,601 (-31.94%); 2015: ₩750,077 (10.21%); 2016: ₩940,565 (25.40%); 2017: ₩8,501,578 (803.88%); 2018: ₩4,476,337 (-47.35%); 2019: ₩5,662,918 (26.51%); 2020: ₩7,492,135 (32.30%); 2021: ₩13,447,438 (79.49%); 2022: ₩4,175,361 (-68.95%); 2023: ₩5,993,802 (43.55%); 2024: ₩7,940,568 (32.48%); 2025: ₩7,151,559 (-9.94%)"
9,42,"₩6,030,281",503.03%,650,"2014: ₩681,193 (-31.88%); 2015: ₩890,616 (30.74%); 2016: ₩837,634 (-5.95%); 2017: ₩7,151,162 (753.73%); 2018: ₩3,602,405 (-49.62%); 2019: ₩4,421,064 (22.73%); 2020: ₩6,614,733 (49.62%); 2021: ₩11,026,146 (66.69%); 2022: ₩3,655,475 (-66.85%); 2023: ₩5,070,607 (38.71%); 2024: ₩6,704,746 (32.23%); 2025: ₩6,030,281 (-10.06%)"
9,43,"₩11,452,532",1045.25%,626,"2014: ₩725,903 (-27.41%); 2015: ₩696,290 (-4.08%); 2016: ₩940,261 (35.04%); 2017: ₩10,144,237 (978.87%); 2018: ₩6,459,766 (-36.32%); 2019: ₩7,863,008 (21.72%); 2020: ₩11,575,601 (47.22%); 2021: ₩19,467,355 (68.18%); 2022: ₩7,559,097 (-61.17%); 2023: ₩10,358,179 (37.03%); 2024: ₩12,721,794 (22.82%); 2025: ₩11,452,532 (-9.98%)"
9,44,"₩8,637,736",763.77%,618,"2014: ₩551,448 (-44.86%); 2015: ₩522,738 (-5.21%); 2016: ₩695,998 (33.14%); 2017: ₩7,320,817 (951.85%); 2018: ₩4,136,918 (-43.49%); 2019: ₩5,119,279 (23.75%); 2020: ₩7,589,173 (48.25%); 2021: ₩14,080,150 (85.53%); 2022: ₩5,735,391 (-59.27%); 2023: ₩8,375,908 (46.04%); 2024: ₩9,658,258 (15.31%); 2025: ₩8,637,736 (-10.57%)"
9,45,"₩7,107,442",610.74%,608,"2014: ₩576,042 (-42.40%); 2015: ₩398,324 (-30.85%); 2016: ₩517,779 (29.99%); 2017: ₩4,650,276 (798.12%); 2018: ₩2,646,039 (-43.10%); 2019: ₩3,288,208 (24.27%); 2020: ₩6,852,856 (108.41%); 2021: ₩11,045,397 (61.18%); 2022: ₩4,882,578 (-55.80%); 2023: ₩7,473,687 (53.07%); 2024: ₩7,947,164 (6.34%); 2025: ₩7,107,442 (-10.57%)"
9,46,"₩7,069,019",606.90%,592,"2014: ₩617,094 (-38.29%); 2015: ₩409,602 (-33.62%); 2016: ₩537,105 (31.13%); 2017: ₩5,073,665 (844.63%); 2018: ₩2,891,278 (-43.01%); 2019: ₩3,182,947 (10.09%); 2020: ₩6,157,467 (93.45%); 2021: ₩10,934,500 (77.58%); 2022: ₩5,136,387 (-53.03%); 2023: ₩7,794,780 (51.76%); 2024: ₩8,060,098 (3.40%); 2025: ₩7,069,019 (-12.30%)"
9,47,"₩8,233,421",723.34%,582,"2014: ₩445,538 (-55.45%); 2015: ₩304,362 (-31.69%); 2016: ₩408,012 (34.05%); 2017: ₩3,794,538 (830.01%); 2018: ₩1,914,609 (-49.54%); 2019: ₩3,118,416 (62.87%); 2020: ₩6,164,755 (97.69%); 2021: ₩10,655,766 (72.85%); 2022: ₩5,744,820 (-46.09%); 2023: ₩7,939,501 (38.20%); 2024: ₩9,097,635 (14.59%); 2025: ₩8,233,421 (-9.50%)"
9,48,"₩4,940,460",394.05%,564,"2014: ₩459,097 (-54.09%); 2015: ₩283,451 (-38.26%); 2016: ₩369,600 (30.39%); 2017: ₩3,395,437 (818.68%); 2018: ₩1,617,778 (-52.35%); 2019: ₩2,079,189 (28.52%); 2020: ₩3,961,251 (90.52%); 2021: ₩7,237,337 (82.70%); 2022: ₩3,516,517 (-51.41%); 2023: ₩4,958,114 (41.00%); 2024: ₩5,465,513 (10.23%); 2025: ₩4,940,460 (-9.61%)"
9,49,"₩4,019,799",301.98%,560,"2014: ₩315,459 (-68.45%); 2015: ₩197,495 (-37.39%); 2016: ₩253,456 (28.33%); 2017: ₩2,522,279 (895.16%); 2018: ₩1,535,739 (-39.11%); 2019: ₩2,076,936 (35.24%); 2020: ₩4,101,993 (97.50%); 2021: ₩6,000,674 (46.29%); 2022: ₩2,896,451 (-51.73%); 2023: ₩4,095,416 (41.39%); 2024: ₩4,447,008 (8.59%); 2025: ₩4,019,799 (-9.61%)"
9,50,"₩4,375,069",337.51%,562,"2014: ₩311,511 (-68.85%); 2015: ₩208,748 (-32.99%); 2016: ₩259,507 (24.32%); 2017: ₩2,621,455 (910.17%); 2018: ₩1,643,072 (-37.32%); 2019: ₩2,142,017 (30.37%); 2020: ₩4,444,270 (107.48%); 2021: ₩6,575,340 (47.95%); 2022: ₩3,359,299 (-48.91%); 2023: ₩4,553,632 (35.55%); 2024: ₩4,940,036 (8.49%); 2025: ₩4,375,069 (-11.44%)"
9,51,"₩4,495,916",349.59%,546,"2014: ₩322,361 (-67.76%); 2015: ₩187,520 (-41.83%); 2016: ₩232,162 (23.81%); 2017: ₩2,508,440 (980.47%); 2018: ₩1,529,732 (-39.02%); 2019: ₩2,168,761 (41.77%); 2020: ₩4,447,308 (105.06%); 2021: ₩6,750,119 (51.78%); 2022: ₩3,467,003 (-48.64%); 2023: ₩4,755,700 (37.17%); 2024: ₩5,088,511 (7.00%); 2025: ₩4,495,916 (-11.65%)"
9,52,"₩6,720,515",572.05%,534,"2014: ₩365,924 (-63.41%); 2015: ₩249,018 (-31.95%); 2016: ₩322,663 (29.57%); 2017: ₩3,230,170 (901.10%); 2018: ₩1,975,349 (-38.85%); 2019: ₩2,862,283 (44.90%); 2020: ₩5,707,201 (99.39%); 2021: ₩8,969,264 (57.16%); 2022: ₩4,606,457 (-48.64%); 2023: ₩6,456,266 (40.16%); 2024: ₩7,606,328 (17.81%); 2025: ₩6,720,515 (-11.65%)"
9,53,"₩7,083,989",608.40%,522,"2014: ₩334,487 (-66.55%); 2015: ₩231,028 (-30.93%); 2016: ₩305,648 (32.30%); 2017: ₩2,650,739 (767.25%); 2018: ₩1,559,760 (-41.16%); 2019: ₩2,091,172 (34.07%); 2020: ₩4,392,695 (110.06%); 2021: ₩7,888,824 (79.59%); 2022: ₩4,351,593 (-44.84%); 2023: ₩6,774,989 (55.69%); 2024: ₩8,017,710 (18.34%); 2025: ₩7,083,989 (-11.65%)"
9,54,"₩11,187,495",1018.75%,536,"2014: ₩463,814 (-53.62%); 2015: ₩386,542 (-16.66%); 2016: ₩507,380 (31.26%); 2017: ₩4,165,474 (720.98%); 2018: ₩2,330,980 (-44.04%); 2019: ₩3,115,595 (33.66%); 2020: ₩6,626,498 (112.69%); 2021: ₩11,510,441 (73.70%); 2022: ₩6,245,437 (-45.74%); 2023: ₩9,225,933 (47.72%); 2024: ₩12,279,585 (33.10%); 2025: ₩11,187,495 (-8.89%)"
9,55,"₩10,452,214",945.22%,534,"2014: ₩547,743 (-45.23%); 2015: ₩390,377 (-28.73%); 2016: ₩510,691 (30.82%); 2017: ₩4,272,303 (736.57%); 2018: ₩2,375,464 (-44.40%); 2019: ₩3,023,761 (27.29%); 2020: ₩6,010,515 (98.78%); 2021: ₩10,494,855 (74.61%); 2022: ₩5,730,581 (-45.40%); 2023: ₩8,650,392 (50.95%); 2024: ₩11,472,528 (32.62%); 2025: ₩10,452,214 (-8.89%)"
9,56,"₩10,114,040",911.40%,520,"2014: ₩508,229 (-49.18%); 2015: ₩469,570 (-7.61%); 2016: ₩575,606 (22.58%); 2017: ₩4,274,702 (642.64%); 2018: ₩2,393,713 (-44.00%); 2019: ₩3,544,539 (48.08%); 2020: ₩6,755,627 (90.59%); 2021: ₩11,485,549 (70.01%); 2022: ₩6,715,790 (-41.53%); 2023: ₩9,968,345 (48.43%); 2024: ₩11,127,941 (11.63%); 2025: ₩10,114,040 (-9.11%)"
9,57,"₩13,023,703",1202.37%,504,"2014: ₩571,771 (-42.82%); 2015: ₩626,921 (9.65%); 2016: ₩746,740 (19.11%); 2017: ₩5,429,272 (627.06%); 2018: ₩3,244,047 (-40.25%); 2019: ₩4,307,008 (32.77%); 2020: ₩8,131,479 (88.80%); 2021: ₩14,821,886 (82.28%); 2022: ₩8,319,563 (-43.87%); 2023: ₩12,588,191 (51.31%); 2024: ₩14,329,288 (13.83%); 2025: ₩13,023,703 (-9.11%)"
9,58,"₩31,123,249",3012.32%,500,"2014: ₩538,856 (-46.11%); 2015: ₩891,760 (65.49%); 2016: ₩1,054,048 (18.20%); 2017: ₩8,589,453 (714.90%); 2018: ₩7,491,518 (-12.78%); 2019: ₩10,127,545 (35.19%); 2020: ₩20,132,476 (98.79%); 2021: ₩37,256,043 (85.05%); 2022: ₩19,569,211 (-47.47%); 2023: ₩29,573,018 (51.12%); 2024: ₩35,024,652 (18.43%); 2025: ₩31,123,249 (-11.14%)"
9,59,"₩44,811,079",4381.11%,494,"2014: ₩544,377 (-45.56%); 2015: ₩881,024 (61.84%); 2016: ₩1,006,729 (14.27%); 2017: ₩8,481,402 (742.47%); 2018: ₩7,101,182 (-16.27%); 2019: ₩9,264,487 (30.46%); 2020: ₩18,423,713 (98.86%); 2021: ₩55,301,247 (200.16%); 2022: ₩28,203,926 (-49.00%); 2023: ₩43,106,501 (52.84%); 2024: ₩50,428,297 (16.99%); 2025: ₩44,811,079 (-11.14%)"
9,60,"₩47,917,911",4691.79%,500,"2014: ₩584,647 (-41.54%); 2015: ₩953,901 (63.16%); 2016: ₩1,025,758 (7.53%); 2017: ₩10,296,580 (903.80%); 2018: ₩8,586,970 (-16.60%); 2019: ₩11,401,198 (32.77%); 2020: ₩23,002,546 (101.76%); 2021: ₩68,372,873 (197.24%); 2022: ₩33,486,819 (-51.02%); 2023: ₩46,292,249 (38.24%); 2024: ₩53,921,480 (16.48%); 2025: ₩47,917,911 (-11.13%)"
9,61,"₩46,144,149",4514.41%,492,"2014: ₩589,075 (-41.09%); 2015: ₩966,478 (64.07%); 2016: ₩1,042,784 (7.90%); 2017: ₩9,818,518 (841.57%); 2018: ₩8,458,569 (-13.85%); 2019: ₩11,057,377 (30.72%); 2020: ₩22,192,620 (100.70%); 2021: ₩64,321,969 (189.83%); 2022: ₩32,072,750 (-50.14%); 2023: ₩44,370,894 (38.34%); 2024: ₩51,925,487 (17.03%); 2025: ₩46,144,149 (-11.13%)"
9,62,"₩29,879,669",2887.97%,500,"2014: ₩570,948 (-42.91%); 2015: ₩944,514 (65.43%); 2016: ₩919,873 (-2.61%); 2017: ₩8,708,483 (846.70%); 2018: ₩6,298,194 (-27.68%); 2019: ₩6,668,339 (5.88%); 2020: ₩13,379,444 (100.64%); 2021: ₩39,980,065 (198.82%); 2022: ₩21,271,873 (-46.79%); 2023: ₩29,641,569 (39.35%); 2024: ₩33,482,722 (12.96%); 2025: ₩29,879,669 (-10.76%)"
9,63,"₩19,003,553",1800.36%,484,"2014: ₩596,550 (-40.35%); 2015: ₩810,010 (35.78%); 2016: ₩834,803 (3.06%); 2017: ₩10,005,963 (1098.60%); 2018: ₩5,985,568 (-40.18%); 2019: ₩6,023,699 (0.64%); 2020: ₩12,119,869 (101.20%); 2021: ₩21,127,963 (74.33%); 2022: ₩11,029,203 (-47.80%); 2023: ₩15,314,233 (38.85%); 2024: ₩21,295,104 (39.05%); 2025: ₩19,003,553 (-10.76%)"
9,64,"₩24,835,881",2383.59%,474,"2014: ₩595,711 (-40.43%); 2015: ₩954,133 (60.17%); 2016: ₩988,034 (3.55%); 2017: ₩11,025,192 (1015.87%); 2018: ₩7,078,430 (-35.80%); 2019: ₩6,780,569 (-4.21%); 2020: ₩12,803,059 (88.82%); 2021: ₩23,416,735 (82.90%); 2022: ₩12,428,365 (-46.93%); 2023: ₩19,074,861 (53.48%); 2024: ₩27,830,726 (45.90%); 2025: ₩24,835,881 (-10.76%)"
9,65,"₩15,284,031",1428.40%,468,"2014: ₩688,037 (-31.20%); 2015: ₩1,112,039 (61.62%); 2016: ₩1,214,808 (9.24%); 2017: ₩5,959,478 (390.57%); 2018: ₩3,811,581 (-36.04%); 2019: ₩4,830,400 (26.73%); 2020: ₩9,007,855 (86.48%); 2021: ₩14,577,154 (61.83%); 2022: ₩7,742,728 (-46.88%); 2023: ₩11,886,451 (53.52%); 2024: ₩16,995,437 (42.98%); 2025: ₩15,284,031 (-10.07%)"
9,66,"₩12,780,401",1178.04%,466,"2014: ₩615,436 (-38.46%); 2015: ₩912,457 (48.26%); 2016: ₩945,226 (3.59%); 2017: ₩4,485,647 (374.56%); 2018: ₩2,788,312 (-37.84%); 2019: ₩4,358,126 (56.30%); 2020: ₩7,722,231 (77.19%); 2021: ₩12,752,728 (65.14%); 2022: ₩6,558,432 (-48.57%); 2023: ₩10,081,011 (53.71%); 2024: ₩14,322,354 (42.07%); 2025: ₩12,780,401 (-10.77%)"
9,67,"₩10,890,220",989.02%,456,"2014: ₩580,690 (-41.93%); 2015: ₩835,063 (43.81%); 2016: ₩864,398 (3.51%); 2017: ₩4,387,572 (407.59%); 2018: ₩2,761,003 (-37.07%); 2019: ₩3,681,118 (33.33%); 2020: ₩6,631,061 (80.14%); 2021: ₩10,521,591 (58.67%); 2022: ₩5,653,036 (-46.27%); 2023: ₩8,675,527 (53.47%); 2024: ₩12,161,888 (40.19%); 2025: ₩10,890,220 (-10.46%)"
9,68,"₩14,693,181",1369.32%,444,"2014: ₩585,632 (-41.44%); 2015: ₩803,383 (37.18%); 2016: ₩824,929 (2.68%); 2017: ₩4,288,060 (419.81%); 2018: ₩2,530,578 (-40.99%); 2019: ₩4,630,283 (82.97%); 2020: ₩8,846,920 (91.07%); 2021: ₩13,539,658 (53.04%); 2022: ₩7,184,154 (-46.94%); 2023: ₩11,103,800 (54.56%); 2024: ₩16,408,927 (47.78%); 2025: ₩14,693,181 (-10.46%)"
9,69,"₩12,710,342",1171.03%,438,"2014: ₩604,538 (-39.55%); 2015: ₩792,138 (31.03%); 2016: ₩814,959 (2.88%); 2017: ₩3,491,672 (328.45%); 2018: ₩2,108,840 (-39.60%); 2019: ₩3,732,119 (76.97%); 2020: ₩6,888,959 (84.59%); 2021: ₩10,366,426 (50.48%); 2022: ₩5,594,807 (-46.03%); 2023: ₩9,110,015 (62.83%); 2024: ₩14,194,549 (55.81%); 2025: ₩12,710,342 (-10.46%)"
9,70,"₩21,997,678",2099.77%,432,"2014: ₩589,509 (-41.05%); 2015: ₩536,890 (-8.93%); 2016: ₩560,343 (4.37%); 2017: ₩7,077,362 (1163.04%); 2018: ₩3,332,047 (-52.92%); 2019: ₩5,981,984 (79.53%); 2020: ₩11,065,514 (84.98%); 2021: ₩16,744,554 (51.32%); 2022: ₩10,097,123 (-39.70%); 2023: ₩16,705,210 (65.45%); 2024: ₩24,413,450 (46.14%); 2025: ₩21,997,678 (-9.90%)"
9,71,"₩22,832,205",2183.22%,436,"2014: ₩551,257 (-44.87%); 2015: ₩546,665 (-0.83%); 2016: ₩566,186 (3.57%); 2017: ₩6,956,390 (1128.64%); 2018: ₩3,182,490 (-54.25%); 2019: ₩5,747,234 (80.59%); 2020: ₩10,833,538 (88.50%); 2021: ₩16,803,852 (55.11%); 2022: ₩9,894,816 (-41.12%); 2023: ₩16,097,486 (62.69%); 2024: ₩24,822,936 (54.20%); 2025: ₩22,832,205 (-8.02%)"
9,72,"₩30,142,413",2914.24%,430,"2014: ₩664,307 (-33.57%); 2015: ₩1,049,625 (58.00%); 2016: ₩1,096,799 (4.49%); 2017: ₩13,879,891 (1165.49%); 2018: ₩6,848,824 (-50.66%); 2019: ₩8,045,552 (17.47%); 2020: ₩13,496,004 (67.74%); 2021: ₩20,037,633 (48.47%); 2022: ₩12,440,294 (-37.92%); 2023: ₩20,099,009 (61.56%); 2024: ₩32,770,518 (63.05%); 2025: ₩30,142,413 (-8.02%)"
9,73,"₩33,071,667",3207.17%,424,"2014: ₩623,740 (-37.63%); 2015: ₩1,040,416 (66.80%); 2016: ₩1,132,981 (8.90%); 2017: ₩15,360,829 (1255.79%); 2018: ₩7,631,551 (-50.32%); 2019: ₩9,015,444 (18.13%); 2020: ₩15,119,602 (67.71%); 2021: ₩21,795,941 (44.16%); 2022: ₩14,210,636 (-34.80%); 2023: ₩22,213,577 (56.32%); 2024: ₩36,079,297 (62.42%); 2025: ₩33,071,667 (-8.34%)"
9,74,"₩30,149,360",2914.94%,424,"2014: ₩691,726 (-30.83%); 2015: ₩1,109,159 (60.35%); 2016: ₩1,168,412 (5.34%); 2017: ₩14,943,885 (1178.99%); 2018: ₩9,314,161 (-37.67%); 2019: ₩13,146,198 (41.14%); 2020: ₩22,047,198 (67.71%); 2021: ₩29,240,675 (32.63%); 2022: ₩19,495,710 (-33.33%); 2023: ₩21,982,557 (12.76%); 2024: ₩33,974,512 (54.55%); 2025: ₩30,149,360 (-11.26%)"
9,75,"₩16,595,523",1559.55%,426,"2014: ₩657,122 (-34.29%); 2015: ₩1,053,672 (60.35%); 2016: ₩1,106,851 (5.05%); 2017: ₩7,277,998 (557.54%); 2018: ₩5,315,538 (-26.96%); 2019: ₩7,628,317 (43.51%); 2020: ₩12,640,772 (65.71%); 2021: ₩16,472,191 (30.31%); 2022: ₩10,187,468 (-38.15%); 2023: ₩11,766,880 (15.50%); 2024: ₩18,685,128 (58.79%); 2025: ₩16,595,523 (-11.18%)"
9,76,"₩23,827,505",2282.75%,420,"2014: ₩661,166 (-33.88%); 2015: ₩1,083,512 (63.88%); 2016: ₩1,254,781 (15.81%); 2017: ₩9,018,853 (618.76%); 2018: ₩6,567,272 (-27.18%); 2019: ₩8,889,678 (35.36%); 2020: ₩14,326,664 (61.16%); 2021: ₩24,048,801 (67.86%); 2022: ₩13,895,468 (-42.22%); 2023: ₩16,207,395 (16.64%); 2024: ₩26,826,167 (65.52%); 2025: ₩23,827,505 (-11.18%)"
9,77,"₩18,767,331",1776.73%,416,"2014: ₩743,791 (-25.62%); 2015: ₩627,961 (-15.57%); 2016: ₩733,530 (16.81%); 2017: ₩5,209,657 (610.22%); 2018: ₩4,745,695 (-8.91%); 2019: ₩8,359,028 (76.14%); 2020: ₩14,042,881 (68.00%); 2021: ₩20,393,008 (45.22%); 2022: ₩11,135,998 (-45.39%); 2023: ₩12,750,790 (14.50%); 2024: ₩21,081,011 (65.33%); 2025: ₩18,767,331 (-10.98%)"
9,78,"₩20,687,519",1968.75%,416,"2014: ₩715,000 (-28.50%); 2015: ₩606,389 (-15.19%); 2016: ₩762,822 (25.80%); 2017: ₩5,446,096 (613.94%); 2018: ₩4,823,100 (-11.44%); 2019: ₩9,444,208 (95.81%); 2020: ₩15,998,103 (69.40%); 2021: ₩23,798,307 (48.76%); 2022: ₩12,517,452 (-47.40%); 2023: ₩14,608,289 (16.70%); 2024: ₩23,237,925 (59.07%); 2025: ₩20,687,519 (-10.98%)"
9,79,"₩22,358,014",2135.80%,412,"2014: ₩1,010,722 (1.07%); 2015: ₩885,651 (-12.37%); 2016: ₩987,878 (11.54%); 2017: ₩7,574,784 (666.77%); 2018: ₩6,805,296 (-10.16%); 2019: ₩13,605,518 (99.93%); 2020: ₩22,054,959 (62.10%); 2021: ₩33,067,869 (49.93%); 2022: ₩17,908,512 (-45.84%); 2023: ₩20,074,514 (12.09%); 2024: ₩25,052,948 (24.80%); 2025: ₩22,358,014 (-10.76%)"
10,20,"₩2,962",-99.70%,1180,"2014: ₩175,769 (-82.42%); 2015: ₩78,544 (-55.31%); 2016: ₩43,489 (-44.63%); 2017: ₩193,424 (344.77%); 2018: ₩30,152 (-84.41%); 2019: ₩26,594 (-11.80%); 2020: ₩34,826 (30.96%); 2021: ₩36,318 (4.28%); 2022: ₩8,153 (-77.55%); 2023: ₩5,279 (-35.25%); 2024: ₩3,368 (-36.21%); 2025: ₩2,962 (-12.06%)"
10,21,"₩3,655",-99.63%,1134,"2014: ₩171,939 (-82.81%); 2015: ₩113,520 (-33.98%); 2016: ₩63,692 (-43.89%); 2017: ₩252,491 (296.43%); 2018: ₩41,970 (-83.38%); 2019: ₩42,845 (2.08%); 2020: ₩63,207 (47.52%); 2021: ₩52,260 (-17.32%); 2022: ₩8,057 (-84.58%); 2023: ₩5,631 (-30.11%); 2024: ₩3,993 (-29.08%); 2025: ₩3,655 (-8.47%)"
10,22,"₩26,993",-97.30%,1084,"2014: ₩222,386 (-77.76%); 2015: ₩160,391 (-27.88%); 2016: ₩113,081 (-29.50%); 2017: ₩412,361 (264.66%); 2018: ₩121,268 (-70.59%); 2019: ₩105,457 (-13.04%); 2020: ₩164,434 (55.92%); 2021: ₩177,742 (8.09%); 2022: ₩43,032 (-75.79%); 2023: ₩34,639 (-19.51%); 2024: ₩28,495 (-17.74%); 2025: ₩26,993 (-5.27%)"
10,23,"₩61,192",-93.88%,1042,"2014: ₩236,290 (-76.37%); 2015: ₩190,569 (-19.35%); 2016: ₩162,539 (-14.71%); 2017: ₩535,485 (229.45%); 2018: ₩175,558 (-67.22%); 2019: ₩184,304 (4.98%); 2020: ₩285,289 (54.79%); 2021: ₩397,046 (39.17%); 2022: ₩86,214 (-78.29%); 2023: ₩76,168 (-11.65%); 2024: ₩66,922 (-12.14%); 2025: ₩61,192 (-8.56%)"
10,24,"₩85,563",-91.44%,988,"2014: ₩196,855 (-80.31%); 2015: ₩164,478 (-16.45%); 2016: ₩151,763 (-7.73%); 2017: ₩568,609 (274.67%); 2018: ₩250,493 (-55.95%); 2019: ₩320,073 (27.78%); 2020: ₩427,063 (33.43%); 2021: ₩512,431 (19.99%); 2022: ₩130,654 (-74.50%); 2023: ₩114,262 (-12.55%); 2024: ₩91,241 (-20.15%); 2025: ₩85,563 (-6.22%)"
10,25,"₩134,736",-86.53%,946,"2014: ₩175,295 (-82.47%); 2015: ₩210,804 (20.26%); 2016: ₩174,188 (-17.37%); 2017: ₩969,147 (456.38%); 2018: ₩378,530 (-60.94%); 2019: ₩530,591 (40.17%); 2020: ₩663,754 (25.10%); 2021: ₩741,479 (11.71%); 2022: ₩207,103 (-72.07%); 2023: ₩175,978 (-15.03%); 2024: ₩144,436 (-17.92%); 2025: ₩134,736 (-6.72%)"
10,26,"₩313,058",-68.69%,912,"2014: ₩235,072 (-76.49%); 2015: ₩289,551 (23.18%); 2016: ₩248,797 (-14.08%); 2017: ₩2,135,402 (758.29%); 2018: ₩687,269 (-67.82%); 2019: ₩871,483 (26.80%); 2020: ₩1,336,443 (53.35%); 2021: ₩1,289,320 (-3.53%); 2022: ₩393,213 (-69.50%); 2023: ₩330,800 (-15.87%); 2024: ₩337,332 (1.97%); 2025: ₩313,058 (-7.20%)"
10,27,"₩936,620",-6.34%,876,"2014: ₩307,202 (-69.28%); 2015: ₩388,849 (26.58%); 2016: ₩295,040 (-24.12%); 2017: ₩3,379,766 (1045.53%); 2018: ₩1,291,684 (-61.78%); 2019: ₩1,779,185 (37.74%); 2020: ₩2,606,709 (46.51%); 2021: ₩2,632,761 (1.00%); 2022: ₩888,971 (-66.23%); 2023: ₩839,937 (-5.52%); 2024: ₩1,011,995 (20.48%); 2025: ₩936,620 (-7.45%)"
10,28,"₩1,550,588",55.06%,852,"2014: ₩332,140 (-66.79%); 2015: ₩433,571 (30.54%); 2016: ₩392,105 (-9.56%); 2017: ₩5,157,538 (1215.35%); 2018: ₩2,188,972 (-57.56%); 2019: ₩2,789,359 (27.43%); 2020: ₩3,946,579 (41.49%); 2021: ₩4,636,780 (17.49%); 2022: ₩1,405,704 (-69.68%); 2023: ₩1,407,382 (0.12%); 2024: ₩1,721,468 (22.32%); 2025: ₩1,550,588 (-9.93%)"
10,29,"₩1,998,209",99.82%,840,"2014: ₩333,650 (-66.63%); 2015: ₩389,472 (16.73%); 2016: ₩326,482 (-16.17%); 2017: ₩5,121,582 (1468.72%); 2018: ₩3,298,800 (-35.59%); 2019: ₩4,171,254 (26.45%); 2020: ₩5,671,881 (35.98%); 2021: ₩5,754,206 (1.45%); 2022: ₩1,943,238 (-66.23%); 2023: ₩2,046,416 (5.31%); 2024: ₩2,214,429 (8.21%); 2025: ₩1,998,209 (-9.76%)"
10,30,"₩1,980,237",98.02%,820,"2014: ₩356,266 (-64.37%); 2015: ₩419,622 (17.78%); 2016: ₩347,671 (-17.15%); 2017: ₩4,902,264 (1310.03%); 2018: ₩3,131,358 (-36.12%); 2019: ₩3,695,138 (18.00%); 2020: ₩4,172,618 (12.92%); 2021: ₩5,302,072 (27.07%); 2022: ₩1,893,127 (-64.29%); 2023: ₩1,990,686 (5.15%); 2024: ₩2,194,473 (10.24%); 2025: ₩1,980,237 (-9.76%)"
10,31,"₩1,247,632",24.76%,790,"2014: ₩387,657 (-61.23%); 2015: ₩387,540 (-0.03%); 2016: ₩307,479 (-20.66%); 2017: ₩4,015,936 (1206.09%); 2018: ₩1,896,084 (-52.79%); 2019: ₩2,219,319 (17.05%); 2020: ₩2,785,031 (25.49%); 2021: ₩3,546,378 (27.34%); 2022: ₩1,230,545 (-65.30%); 2023: ₩1,107,921 (-9.97%); 2024: ₩1,366,414 (23.33%); 2025: ₩1,247,632 (-8.69%)"
10,32,"₩2,238,966",123.90%,776,"2014: ₩332,763 (-66.72%); 2015: ₩338,988 (1.87%); 2016: ₩283,874 (-16.26%); 2017: ₩2,713,222 (855.78%); 2018: ₩1,536,762 (-43.36%); 2019: ₩1,943,428 (26.46%); 2020: ₩2,323,593 (19.56%); 2021: ₩5,711,886 (145.82%); 2022: ₩2,048,512 (-64.14%); 2023: ₩2,226,603 (8.69%); 2024: ₩2,437,376 (9.47%); 2025: ₩2,238,966 (-8.14%)"
10,33,"₩1,461,375",46.14%,756,"2014: ₩279,585 (-72.04%); 2015: ₩288,443 (3.17%); 2016: ₩229,812 (-20.33%); 2017: ₩2,217,999 (865.14%); 2018: ₩1,276,495 (-42.45%); 2019: ₩1,482,655 (16.15%); 2020: ₩1,759,276 (18.66%); 2021: ₩3,976,825 (126.05%); 2022: ₩1,475,529 (-62.90%); 2023: ₩1,549,216 (4.99%); 2024: ₩1,583,976 (2.24%); 2025: ₩1,461,375 (-7.74%)"
10,34,"₩2,203,860",120.39%,736,"2014: ₩344,805 (-65.52%); 2015: ₩301,272 (-12.63%); 2016: ₩361,390 (19.95%); 2017: ₩3,358,429 (829.31%); 2018: ₩1,963,274 (-41.54%); 2019: ₩2,263,864 (15.31%); 2020: ₩2,794,907 (23.46%); 2021: ₩5,773,168 (106.56%); 2022: ₩2,118,969 (-63.30%); 2023: ₩2,162,668 (2.06%); 2024: ₩2,383,040 (10.19%); 2025: ₩2,203,860 (-7.52%)"
